k,numiter,acc_pos,acc_neg
10,10,1.0,0.96
10,20,0.9591836734693877,0.96
10,30,1.0,0.96
10,40,0.9591836734693877,0.98
10,50,1.0,1.0
10,60,0.9795918367346939,0.96
10,70,1.0,0.98
10,80,1.0,1.0
10,90,0.9795918367346939,0.94
10,100,0.9387755102040817,1.0
15,10,1.0,0.94
15,20,0.9795918367346939,0.98
15,30,0.9795918367346939,0.98
15,40,1.0,0.96
15,50,1.0,1.0
15,60,0.9795918367346939,0.98
15,70,0.9795918367346939,0.96
15,80,1.0,0.92
15,90,1.0,0.98
15,100,1.0,0.96
20,10,1.0,0.96
20,20,1.0,0.8200000000000001
20,30,1.0,1.0
20,40,0.9387755102040817,0.98
20,50,1.0,0.98
20,60,1.0,0.96
20,70,1.0,0.98
20,80,0.9795918367346939,0.92
20,90,1.0,0.98
20,100,1.0,0.94
25,10,0.9387755102040817,0.92
25,20,1.0,0.94
25,30,0.9591836734693877,0.94
25,40,1.0,0.98
25,50,1.0,0.92
25,60,0.9591836734693877,0.96
25,70,0.9795918367346939,0.96
25,80,1.0,0.86
25,90,0.9591836734693877,0.94
25,100,0.9591836734693877,0.92
30,10,0.9387755102040817,0.94
